student_id,name,class,comprehension,attention,focus,retention,assessment_score,engagement_time
STU0028,Olivia Johnson,Grade 9,64.8,100.0,100.0,78.0,81.9,53.4
STU0029,James Jones,Grade 9,54.9,100.0,99.8,70.2,76.9,70.5
STU0030,Benjamin Anderson,Grade 9,70.5,80.3,93.9,76.9,76.1,82.1
STU0031,Liam Martinez,Grade 9,55.7,75.4,64.0,49.0,55.5,29.5
STU0032,Avery Lopez,Grade 9,98.3,91.5,100.0,88.8,88.1,33.8
STU0033,Taylor Smith,Grade 9,71.9,94.6,97.0,73.1,79.0,52.1
STU0034,Quinn Gonzalez,Grade 9,47.7,95.0,90.6,60.2,74.1,89.8
STU0035,Blake Johnson,Grade 9,99.2,99.3,88.7,97.5,91.6,40.7
STU0036,Quinn Wilson,Grade 9,57.4,89.8,76.6,71.8,79.6,70.6
STU0037,Casey Miller,Grade 9,56.4,98.1,97.7,87.4,76.9,81.2
STU0038,Sam Davis,Grade 9,45.3,63.7,71.3,44.7,43.9,29.5
STU0039,Liam Williams,Grade 9,45.8,65.0,55.7,57.0,54.2,41.0
STU0040,Liam Garcia,Grade 9,81.3,97.9,86.6,77.5,92.3,76.3
STU0041,Avery Hernandez,Grade 9,76.0,100.0,96.3,81.7,95.3,49.2
STU0042,Sam Lopez,Grade 9,74.0,100.0,96.2,87.6,86.9,52.9
STU0043,Taylor Martinez,Grade 9,72.7,75.6,76.9,64.6,81.5,34.4
STU0044,Riley Rodriguez,Grade 9,69.8,100.0,84.9,80.7,79.4,35.8
STU0045,Quinn Williams,Grade 9,39.0,59.0,66.7,49.2,54.6,26.2
STU0046,Ava Miller,Grade 9,55.2,98.5,93.3,78.2,83.0,35.6
STU0047,Sam Anderson,Grade 9,58.2,95.5,72.3,65.8,72.1,45.8
STU0048,James Brown,Grade 9,81.8,97.2,93.9,100.0,81.8,41.9
STU0049,Emma Wilson,Grade 9,91.8,100.0,99.6,86.8,99.6,58.8
STU0050,Jordan Brown,Grade 9,46.8,75.2,83.9,57.3,70.5,20.0
STU0051,Jordan Gonzalez,Grade 10,65.4,95.8,98.7,75.6,77.1,59.7
STU0052,Emma Miller,Grade 10,75.0,100.0,100.0,76.8,90.0,68.5
STU0053,Sam Johnson,Grade 10,77.3,92.3,88.5,76.0,82.4,21.2
STU0054,Avery Anderson,Grade 10,92.6,99.3,90.7,96.9,94.6,58.1
STU0055,Isabella Anderson,Grade 10,74.4,95.7,100.0,92.7,84.3,73.2
STU0056,Emma Brown,Grade 10,76.6,96.0,96.5,81.0,85.0,36.3
STU0057,William Miller,Grade 10,69.0,96.3,99.7,71.6,82.3,79.1
STU0058,Ava Williams,Grade 10,60.5,82.0,82.8,74.6,77.4,52.0
STU0059,Sam Williams,Grade 10,81.1,96.3,100.0,83.2,85.5,45.0
STU0060,Quinn Lopez,Grade 10,92.1,100.0,98.4,99.1,94.8,54.3
STU0061,James Rodriguez,Grade 10,55.1,100.0,94.0,74.3,82.0,62.5
STU0062,Sam Lopez,Grade 10,64.3,96.9,93.8,64.5,63.9,54.0
STU0063,Isabella Miller,Grade 10,27.1,56.6,69.9,57.0,59.2,44.6
STU0064,Isabella Miller,Grade 10,42.2,82.1,77.7,73.0,57.2,32.2
STU0065,Liam Brown,Grade 10,79.0,100.0,95.5,80.8,86.3,56.3
STU0066,Morgan Rodriguez,Grade 10,81.6,100.0,96.7,83.9,86.4,34.8
STU0067,William Johnson,Grade 10,85.3,98.0,99.6,85.6,81.1,53.5
STU0068,Jordan Wilson,Grade 10,74.4,99.0,100.0,86.5,94.5,42.4
STU0069,Casey Williams,Grade 10,69.5,95.7,66.5,78.7,73.5,33.5
STU0070,Riley Gonzalez,Grade 10,62.3,87.1,99.0,94.7,84.9,71.1
STU0071,Noah Martinez,Grade 10,89.4,99.5,97.8,92.7,93.8,72.4
STU0072,Taylor Miller,Grade 10,80.4,78.8,62.5,70.2,74.6,48.3
STU0073,Olivia Martinez,Grade 10,78.5,86.2,85.5,70.9,78.4,32.0
STU0074,Ava Rodriguez,Grade 10,93.6,98.2,97.9,89.2,87.6,50.1
STU0075,Sam Rodriguez,Grade 10,21.3,88.9,77.1,42.1,54.7,62.6
STU0076,Alex Hernandez,Grade 10,87.3,99.4,95.0,99.4,89.6,55.6
STU0077,Casey Hernandez,Grade 10,72.7,100.0,87.8,76.4,75.8,87.2
STU0078,James Gonzalez,Grade 10,61.5,99.2,99.6,80.6,76.5,61.0
STU0079,Sam Gonzalez,Grade 10,70.1,100.0,96.6,82.7,95.3,58.9
STU0080,Emma Johnson,Grade 10,36.2,88.5,98.4,70.9,75.7,48.8
STU0081,Blake Miller,Grade 10,69.0,96.6,100.0,100.0,84.2,57.0
STU0082,Riley Davis,Grade 10,80.0,95.0,87.9,79.2,80.4,47.6
STU0083,Alex Lopez,Grade 10,100.0,98.2,92.3,91.1,97.9,64.9
STU0084,Sam Rodriguez,Grade 10,51.5,89.7,94.9,73.6,84.6,66.5
STU0085,Riley Rodriguez,Grade 10,75.3,91.0,82.4,82.3,83.7,37.0
STU0086,Casey Wilson,Grade 10,48.8,68.1,80.3,72.4,68.6,21.3
STU0087,Blake Wilson,Grade 10,79.7,99.1,96.0,92.2,99.0,27.7
STU0088,Sophia Martinez,Grade 10,76.1,93.2,91.3,80.8,85.6,58.8
STU0089,Avery Williams,Grade 10,61.2,100.0,99.1,82.4,81.8,39.4
STU0090,Liam Gonzalez,Grade 10,75.2,99.5,100.0,95.4,91.4,23.7
STU0091,Riley Rodriguez,Grade 10,68.7,100.0,96.5,87.3,88.9,60.1
STU0092,Sophia Anderson,Grade 10,85.7,99.1,100.0,93.0,93.7,93.4
STU0093,Alex Martinez,Grade 10,53.7,91.0,79.7,74.8,76.3,47.1
STU0094,Emma Davis,Grade 10,72.3,87.3,97.9,89.4,85.4,65.6
STU0095,Alex Johnson,Grade 10,70.1,100.0,99.8,93.3,89.4,57.2
STU0096,Liam Anderson,Grade 10,46.5,90.1,85.2,64.8,67.3,46.7
STU0097,Blake Brown,Grade 10,85.7,92.7,98.5,88.6,90.6,68.2
STU0098,Jordan Brown,Grade 10,78.8,98.6,90.7,79.9,77.8,47.6
STU0099,Isabella Johnson,Grade 10,78.6,94.1,100.0,92.5,96.2,58.4
STU0100,Taylor Lopez,Grade 10,72.7,83.9,84.3,71.9,75.0,52.0
STU0101,William Wilson,Grade 11,43.7,91.3,88.7,63.9,74.2,39.6
STU0102,Taylor Gonzalez,Grade 11,58.1,100.0,99.3,70.6,63.0,70.9
STU0103,James Gonzalez,Grade 11,69.2,84.1,81.5,72.7,85.6,42.6
STU0104,Morgan Williams,Grade 11,62.8,100.0,86.6,84.6,80.5,40.2
STU0105,William Rodriguez,Grade 11,67.1,90.2,75.7,70.0,84.5,53.8
STU0106,Riley Jones,Grade 11,76.1,97.6,100.0,89.9,89.7,42.1
STU0107,Sophia Wilson,Grade 11,100.0,100.0,84.1,82.2,96.9,52.3
STU0108,Benjamin Miller,Grade 11,69.8,91.0,97.7,88.0,78.1,52.8
STU0109,Avery Anderson,Grade 11,78.4,99.7,76.8,83.1,82.4,65.6
STU0110,James Gonzalez,Grade 11,70.3,85.2,100.0,98.9,98.3,60.0
STU0111,Avery Lopez,Grade 11,37.2,83.1,90.3,54.8,60.6,46.8
STU0112,Blake Miller,Grade 11,78.0,99.8,100.0,88.1,94.5,68.0
STU0113,Liam Davis,Grade 11,76.1,95.7,95.9,86.4,92.9,75.1
STU0114,Sophia Davis,Grade 11,96.3,100.0,100.0,98.0,100.0,64.4
STU0115,Casey Brown,Grade 11,77.4,96.3,93.9,86.3,89.7,54.7
STU0116,Quinn Johnson,Grade 11,74.5,99.8,98.9,86.0,91.1,36.3
STU0117,Emma Smith,Grade 11,77.9,100.0,98.4,89.3,100.0,40.0
STU0118,Isabella Rodriguez,Grade 11,51.3,73.7,78.9,61.5,63.2,38.6
STU0119,Quinn Martinez,Grade 11,87.7,100.0,96.1,83.7,92.7,45.7
STU0120,Quinn Smith,Grade 11,83.9,99.1,98.5,89.1,93.9,53.0
STU0121,Taylor Lopez,Grade 11,85.0,88.8,89.3,100.0,96.1,51.8
STU0122,Jordan Brown,Grade 11,62.3,98.8,83.8,63.0,80.6,58.1
STU0123,Taylor Anderson,Grade 11,84.0,100.0,84.4,86.4,92.7,50.6
STU0124,Jordan Wilson,Grade 11,63.8,100.0,100.0,73.3,79.4,63.3
STU0125,Emma Johnson,Grade 11,70.1,88.5,98.1,89.6,93.2,52.7
STU0126,Sophia Brown,Grade 11,87.5,90.2,86.8,75.5,78.8,19.8
STU0127,Sam Hernandez,Grade 11,68.2,74.5,75.5,64.0,69.8,29.8
STU0128,William Brown,Grade 11,70.9,99.7,99.4,85.9,80.5,53.4
STU0129,James Williams,Grade 11,75.5,100.0,96.8,97.7,91.8,36.1
STU0130,Isabella Martinez,Grade 11,65.3,90.1,85.2,73.9,78.9,55.8
STU0131,William Brown,Grade 11,46.9,89.9,91.7,62.1,70.3,74.8
STU0132,William Gonzalez,Grade 11,60.4,74.1,71.0,81.4,74.5,58.6
STU0133,Noah Brown,Grade 11,55.3,87.5,93.2,60.1,75.4,47.9
STU0134,Casey Johnson,Grade 11,71.4,85.0,71.3,55.2,70.7,65.8
STU0135,Noah Garcia,Grade 11,63.1,88.6,100.0,81.2,81.7,55.1
STU0136,Noah Miller,Grade 11,88.9,96.8,97.0,90.1,100.0,50.9
STU0137,Ava Wilson,Grade 11,52.6,73.7,83.7,56.3,71.1,35.6
STU0138,Jordan Hernandez,Grade 11,61.5,87.1,100.0,86.3,75.5,48.9
STU0139,Casey Smith,Grade 11,83.2,100.0,100.0,90.8,96.6,50.2
STU0140,Olivia Lopez,Grade 11,41.3,79.4,91.1,57.2,67.7,49.9
STU0141,Emma Gonzalez,Grade 11,66.7,99.8,82.2,62.8,75.0,52.5
STU0142,Casey Brown,Grade 11,95.1,99.7,86.4,96.9,100.0,52.0
STU0143,Avery Brown,Grade 11,51.1,90.0,86.1,68.5,70.1,55.5
STU0144,James Davis,Grade 11,67.8,100.0,99.3,80.9,84.3,73.9
STU0145,Morgan Miller,Grade 11,68.9,67.5,81.9,88.7,72.6,56.7
STU0146,Riley Jones,Grade 11,84.5,99.4,91.2,81.3,89.0,30.9
STU0147,Ava Brown,Grade 11,37.9,86.8,90.5,44.4,54.7,10.8
STU0148,Taylor Davis,Grade 11,39.5,75.8,72.2,45.0,46.2,55.1
STU0149,James Johnson,Grade 11,73.6,100.0,96.2,80.2,93.9,33.5
STU0150,Jordan Hernandez,Grade 11,75.2,95.7,80.8,74.6,75.1,45.0
STU0151,James Wilson,Grade 12,76.0,94.6,87.3,79.7,82.2,35.5
STU0152,Alex Johnson,Grade 12,86.6,100.0,89.0,92.9,80.7,24.6
STU0153,Quinn Williams,Grade 12,64.9,98.7,88.4,66.1,76.1,61.0
STU0154,Noah Davis,Grade 12,70.5,96.3,98.7,95.4,80.8,67.4
STU0155,William Brown,Grade 12,73.7,100.0,89.3,77.6,95.0,44.3
STU0156,Olivia Anderson,Grade 12,52.0,83.6,100.0,78.5,81.0,12.6
STU0157,Jordan Williams,Grade 12,96.7,99.7,95.7,98.9,94.2,47.8
STU0158,Olivia Smith,Grade 12,73.2,99.1,100.0,87.8,99.9,61.1
STU0159,Olivia Jones,Grade 12,57.7,96.2,87.9,74.3,75.0,27.6
STU0160,Ava Jones,Grade 12,72.7,98.8,100.0,88.6,86.6,57.8
STU0161,Noah Lopez,Grade 12,59.5,98.5,90.3,74.8,63.5,51.5
STU0162,James Hernandez,Grade 12,92.6,100.0,100.0,100.0,97.3,64.7
STU0163,William Williams,Grade 12,81.7,100.0,100.0,94.5,84.0,57.8
STU0164,Avery Jones,Grade 12,62.7,85.5,91.3,80.5,71.5,35.5
STU0165,Avery Smith,Grade 12,91.5,99.5,100.0,96.5,98.7,73.9
STU0166,Isabella Lopez,Grade 12,72.4,94.5,90.1,89.3,100.0,49.5
STU0167,James Smith,Grade 12,84.2,88.7,86.8,78.3,89.4,47.8
STU0168,Emma Smith,Grade 12,96.1,99.6,99.7,97.5,96.6,42.0
STU0169,Jordan Martinez,Grade 12,64.0,74.7,72.9,68.8,71.3,34.7
STU0170,William Rodriguez,Grade 12,51.4,83.6,100.0,61.0,77.0,38.5
STU0171,Sophia Williams,Grade 12,58.5,90.1,100.0,76.8,80.8,50.7
STU0172,Jordan Rodriguez,Grade 12,59.2,100.0,88.5,69.1,78.5,79.9
STU0173,Taylor Wilson,Grade 12,81.1,98.8,100.0,94.4,93.5,35.4
STU0174,Riley Johnson,Grade 12,80.1,100.0,100.0,84.8,90.9,31.8
STU0175,Benjamin Johnson,Grade 12,92.3,98.5,100.0,89.6,93.2,78.1
STU0176,Quinn Miller,Grade 12,76.2,74.3,65.0,61.2,70.0,36.4
STU0177,Casey Anderson,Grade 12,74.0,98.8,94.9,76.6,76.5,43.6
STU0178,Isabella Brown,Grade 12,95.6,99.9,99.4,76.0,87.0,70.8
STU0179,Isabella Martinez,Grade 12,82.0,89.8,90.3,78.2,78.1,42.1
STU0180,Jordan Martinez,Grade 12,86.9,98.6,100.0,99.2,91.3,83.4
STU0181,Taylor Miller,Grade 12,73.1,97.2,98.1,89.5,87.8,66.2
STU0182,Isabella Martinez,Grade 12,54.6,81.5,69.2,62.9,70.6,35.3
STU0183,Sophia Garcia,Grade 12,34.9,80.5,89.3,50.3,66.4,81.4
STU0184,Sam Brown,Grade 12,73.1,100.0,100.0,86.1,79.0,46.9
STU0185,Emma Brown,Grade 12,61.5,94.8,100.0,71.9,75.1,65.8
STU0186,Sam Miller,Grade 12,83.3,97.1,100.0,83.0,91.7,60.5
STU0187,Morgan Hernandez,Grade 12,80.2,99.4,100.0,97.1,88.5,75.5
STU0188,Blake Davis,Grade 12,83.2,97.0,100.0,96.9,91.2,79.1
STU0189,Emma Anderson,Grade 12,63.2,100.0,98.0,76.0,86.9,56.3
STU0190,Taylor Smith,Grade 12,42.9,72.3,60.0,50.6,50.6,24.3
STU0191,Ava Martinez,Grade 12,54.0,86.3,98.0,70.7,73.1,59.4
STU0192,Isabella Johnson,Grade 12,81.0,100.0,100.0,76.6,80.2,45.8
STU0193,Taylor Rodriguez,Grade 12,63.5,99.3,100.0,79.6,75.4,86.1
STU0194,Avery Rodriguez,Grade 12,67.8,100.0,88.6,66.3,78.2,54.0
STU0195,Sam Williams,Grade 12,77.3,100.0,89.9,77.3,77.3,47.1
STU0196,Liam Anderson,Grade 12,70.0,92.8,100.0,79.7,84.1,57.4
STU0197,Taylor Anderson,Grade 12,44.2,76.3,81.0,73.5,64.4,24.2
STU0198,Quinn Garcia,Grade 12,87.2,94.9,98.2,95.0,93.5,40.6
STU0199,Blake Williams,Grade 12,70.0,95.8,94.9,74.2,82.9,70.9
STU0200,Ava Wilson,Grade 12,61.3,98.5,97.6,82.9,89.8,45.5
